,year,make,model,sub_model,price,exterior_color,engine,drive_type,fuel_type,transmission
0,2021,Ram,1500,"Limited Crew Cab 5'7"" Box 4WD","$71,652",Diamond Black Crystal Pearlcoat,3.0L V-6 Diesel Turbocharged,4WD,Diesel,Automatic
1,2021,Jeep,Grand Cherokee,L Limited 4WD,"$47,789",Diamond Black Crystal Pearlcoat,3.6L V-6 Gas,4WD,Gas,Automatic
2,2021,Nissan,Rogue,SV AWD,"$30,853",Super Black,2.5L Inline-4 Gas,AWD,Gas,Automatic
3,2021,Nissan,Rogue,SV AWD,"$31,246",Pearl White Tricoat,2.5L Inline-4 Gas,AWD,Gas,Automatic
4,2022,Volkswagen,Taos,S FWD,"$24,770",Platinum Gray Metallic,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic
5,2021,Jeep,Grand Cherokee,L Limited 4WD,"$50,313",Baltic Gray Metallic Clearcoat,3.6L V-6 Gas,4WD,Gas,Automatic
6,2021,Nissan,Rogue,SV AWD,"$31,246",Pearl White Tricoat,2.5L Inline-4 Gas,AWD,Gas,Automatic
7,2021,Jeep,Grand Cherokee,L Limited 4WD,"$51,047",Bright White Clearcoat,3.6L V-6 Gas,4WD,Gas,Automatic
8,2021,Nissan,Rogue,SL AWD,"$38,764",Sunset Drift Chromaflair/Super Black,2.5L Inline-4 Gas,AWD,Gas,Automatic
9,2021,Nissan,Rogue,SV AWD,"$31,246",Pearl White Tricoat,2.5L Inline-4 Gas,AWD,Gas,Automatic
10,2021,Ford,Expedition,Limited 4WD,"$69,856",Agate Black Metallic,3.5L V-6 Gas Turbocharged,4WD,Gas,Automatic
11,2021,Nissan,Rogue,SL AWD,"$38,050",Super Black,2.5L Inline-4 Gas,AWD,Gas,Automatic
12,2021,Nissan,Rogue,SL AWD,"$38,456",Scarlet Ember Tintcoat,2.5L Inline-4 Gas,AWD,Gas,Automatic
13,2021,Nissan,Rogue,SV AWD,"$33,496",Brilliant Silver Metallic,2.5L Inline-4 Gas,AWD,Gas,Automatic
14,2021,Ram,1500,"Limited Crew Cab 5'7"" Box 4WD","$72,093",Patriot Blue Pearlcoat,3.0L V-6 Diesel Turbocharged,4WD,Diesel,Automatic
15,2022,Ram,1500,"Big Horn Quad Cab 6'4"" Box 4WD","$50,217",Granite Crystal Metallic Clearcoat,5.7L V-8 Gas,4WD,Gas,Automatic
16,2022,Volkswagen,Tiguan,SE R-Line Black FWD,"$34,578",Pure White,2.0L Inline-4 Gas Turbocharged,FWD,Gas,Automatic
17,2021,Hyundai,Sonata,SEL,"$28,805",Hampton Gray,2.5L Inline-4 Gas,FWD,Gas,Automatic
18,2021,Jeep,Wrangler,Willys,"$43,997",Snazzberry Pearlcoat,3.6L V-6 Gas,4WD,Gas,Automatic
19,2021,Jeep,Gladiator,Sport,"$59,189",Hydro Blue Pearlcoat,3.6L V-6 Gas,4WD,Gas,Automatic
20,2022,Ram,1500,"Big Horn Quad Cab 6'4"" Box 4WD","$49,835",Bright White Clearcoat,5.7L V-8 Gas,4WD,Gas,Automatic
21,2021,Jeep,Gladiator,Sport,"$59,587",Snazzberry Pearlcoat,3.6L V-6 Gas,4WD,Gas,Automatic
22,2022,Land,Rover Discovery,HSE R-Dynamic P360,"$78,397",Portofino Blue Metallic,3.0L Inline-6 Hybrid Turbocharged,4WD,Hybrid,Automatic
23,2021,Ram,1500,"Limited Crew Cab 5'7"" Box 2WD","$67,237",Bright White Clearcoat,5.7L V-8 Gas,RWD,Gas,Automatic
24,2021,Mazda,CX-5,Grand Touring Reserve AWD,"$36,838",Snowflake White Pearl Mica,2.5L Inline-4 Gas Turbocharged,AWD,gas,Automatic
25,2021,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,"$55,876",Rapid Red Metallic Tinted Clearcoat,5.0L V-8 Gas,4WD,Gas,Automatic
26,2022,Mitsubishi,Eclipse Cross,LE S-AWC,"$26,318",White Diamond,1.5L Inline-4 Gas Turbocharged,4WD,Gas,Automatic
27,2021,Ford,Edge,ST Line FWD,"$40,802",Lithium Gray,2.0L Inline-4 Gas Turbocharged,FWD,Gas,Automatic
28,2021,Ford,Ranger,XLT SuperCrew 5' Box 4WD,"$36,686",Carbonized Gray Metallic,2.3L Inline-4 Gas Turbocharged,4WD,Gas,Automatic
29,2021,Ford,Escape,SE Hybrid FWD,"$32,502",Agate Black Metallic,2.5L Inline-4 Hybrid,FWD,Hybrid,Automatic
30,2021,Ford,Edge,SE FWD,"$33,367",Agate Black Metallic,2.0L Inline-4 Gas Turbocharged,FWD,Gas,Automatic
31,2021,Ford,Ranger,XLT SuperCrew 5' Box 2WD,"$32,871",Velocity Blue Metallic,2.3L Inline-4 Gas Turbocharged,RWD,Gas,Automatic
32,2021,Ford,Escape,SE FWD,"$26,728",Desert Gold Metallic,1.5L Inline-3 Gas Turbocharged,FWD,Gas,Automatic
33,2021,Ford,F-150,XL SuperCrew 5.5' Box 2WD,"$44,343",Agate Black Metallic,2.7L V-6 Gas Turbocharged,RWD,Gas,Automatic
34,2021,Ford,Edge,SEL FWD,"$37,861",Desert Gold Metallic,2.0L Inline-4 Gas Turbocharged,FWD,Gas,Automatic
35,2021,Ford,Expedition,Limited RWD,"$66,220",Magnetic Metallic,3.5L V-6 Gas Turbocharged,RWD,Gas,Automatic
36,2021,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,"$58,572",Oxford White,3.5L V-6 Gas Turbocharged,4WD,Gas,Automatic
37,2021,Ford,Ranger,Lariat SuperCrew 5' Box 2WD,"$39,801",Shadow Black,2.3L Inline-4 Gas Turbocharged,RWD,Gas,Automatic
38,2021,Ford,Escape,SE FWD,"$31,289",Carbonized Gray Metallic,1.5L Inline-3 Gas Turbocharged,FWD,Gas,Automatic
39,2021,Ford,Edge,SEL FWD,"$36,968",Carbonized Gray Metallic,2.0L Inline-4 Gas Turbocharged,FWD,Gas,Automatic
40,2021,Nissan,Rogue,SV AWD,"$34,549",Super Black,2.5L Inline-4 Gas,AWD,Gas,Automatic
41,2021,Nissan,Rogue,Platinum AWD,"$43,421",Unknown,2.5L Inline-4 Gas,AWD,Gas,Automatic
42,2021,Nissan,Rogue,SL AWD,"$37,829",Brilliant Silver Metallic,2.5L Inline-4 Gas,AWD,Gas,Automatic
43,2021,Ford,F-150,XL SuperCrew 5.5' Box 2WD,"$44,682",Race Red,2.7L V-6 Gas Turbocharged,RWD,Gas,Automatic
44,2021,Ford,Escape,SEL FWD,"$32,591",Star White Metallic Tri-Coat,1.5L Inline-3 Gas Turbocharged,FWD,Gas,Automatic
45,2021,Ford,Expedition,Max Limited RWD,"$70,165",Agate Black Metallic,3.5L V-6 Gas Turbocharged,RWD,Gas,Automatic
46,2021,Ford,EcoSport,S FWD,"$19,071",Smoke Metallic,1.0L Inline-3 Gas Turbocharged,FWD,Gas,Automatic
47,2022,Honda,Civic,Sport Sedan CVT,"$25,016",Platinum White Pearl,2.0L Inline-4 Gas,FWD,gas,Automatic
48,2022,Nissan,Frontier,SV Crew Cab Long Bed 2WD,"$38,607",Gun Metallic,3.8L V-6 Gas,RWD,Gas,Automatic
49,2021,Nissan,Kicks,SV,"$22,809",Gun Metallic,1.6L Inline-4 Gas Turbocharged,FWD,Gas,Automatic
50,2022,Honda,Civic,LX Sedan CVT,"$23,071",Aegean Blue Metallic,2.0L Inline-4 Gas,FWD,gas,Automatic
51,2021,BMW,X1,sDrive28i,"$45,574",Misano Blue Metallic,2.0L Inline-4 Gas Turbocharged,FWD,Gas,Automatic
52,2022,Kia,Carnival,SX,"$57,222",Aurora Black,3.5L V-6 Gas,FWD,Gas,Automatic
53,2022,Honda,CR-V,Touring AWD,"$37,982",Radiant Red Metallic,1.5L Inline-4 Gas Turbocharged,AWD,gas,Automatic
54,2021,Jeep,Compass,Altitude FWD,"$34,949",Velvet Red Pearlcoat,2.4L Inline-4 Gas,FWD,Gas,Automatic
55,2021,Jeep,Gladiator,Rubicon,"$61,211",Bright White Clearcoat,3.6L V-6 Gas,4WD,Gas,Automatic
56,2021,Dodge,Challenger,R/T RWD,"$37,852",Triple Nickel Clearcoat,5.7L V-8 Gas,RWD,Gas,Automatic
57,2021,Nissan,Altima,2.0 SR FWD,"$31,708",Pearl White Tricoat,2.0L Inline-4 Gas Turbocharged,FWD,Gas,Automatic
58,2021,Nissan,Rogue Sport,S AWD,"$27,783",Brilliant Silver Metallic,2.0L Inline-4 Gas,AWD,Gas,Automatic
59,2020,Kia,Forte,GT-Line IVT,No Price Available,Clear White,2.0L Inline-4 Gas,FWD,Gas,Automatic
60,2022,Kia,Soul,LX IVT,"$22,224",Inferno Red,2.0L Inline-4 Gas,FWD,Gas,Automatic
61,2022,Ram,1500,"Big Horn Crew Cab 5'7"" Box 2WD","$46,890",Delmonico Red Pearlcoat,5.7L V-8 Gas,RWD,Gas,Automatic
62,2021,Nissan,Altima,2.5 Platinum AWD,"$34,499",Super Black,2.5L Inline-4 Gas,AWD,Gas,Automatic
63,2022,Jeep,Compass,Trailhawk 4WD,"$32,872",Diamond Black Crystal Pearlcoat,2.4L Inline-4 Gas,4WD,Gas,Automatic
64,2021,Ram,1500 Classic,"Tradesman Crew Cab 5'7"" Box 4WD","$45,643",Holland Blue,5.7L V-8 Gas,4WD,Gas,Automatic
65,2021,Chrysler,Pacifica,Hybrid Limited FWD,"$53,571",Luxury White Pearlcoat,3.6L V-6 Plug-In Hybrid,FWD,Plug-In Hybrid,Automatic
66,2021,Nissan,Versa,S CVT,"$18,249",Fresh Powder,1.6L Inline-4 Gas,FWD,Gas,Automatic
67,2021,Ford,Mustang,GT Premium Fastback,"$44,654",Shadow Black,5.0L V-8 Gas,RWD,Gas,Automatic
68,2022,Chevrolet,Bolt EUV,Premier,"$43,340",Mosaic Black Metallic,L - Electric,FWD,Electric,Automatic
69,2021,Mazda,CX-5,Grand Touring AWD,"$33,728",Eternal Blue Mica,2.5L Inline-4 Gas,AWD,gas,Automatic
70,2022,Hyundai,Tucson,SEL AWD,"$35,030",Portofino Gray,2.5L Inline-4 Gas,AWD,Gas,Automatic
71,2021,Jeep,Gladiator,Overland,"$50,892",Black Clearcoat,3.6L V-6 Gas,4WD,Gas,Automatic
72,2021,Ford,Mustang,GT Fastback,"$43,325",Velocity Blue Metallic,5.0L V-8 Gas,RWD,Gas,Automatic
73,2021,Dodge,Challenger,R/T RWD,"$36,778",Smoke Show,5.7L V-8 Gas,RWD,Gas,Manual
74,2021,Nissan,Murano,SL AWD,"$44,211",Magnetic Black Pearl,3.5L V-6 Gas,AWD,Gas,Automatic
75,2022,Volkswagen,Taos,S FWD,"$23,802",Pure White,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic
76,2021,Jeep,Grand Cherokee,L Limited 4WD,"$50,313",Diamond Black Crystal Pearlcoat,3.6L V-6 Gas,4WD,Gas,Automatic
77,2021,Jeep,Renegade,Latitude 4WD,"$26,792",Granite Crystal Metallic Clearcoat,2.4L Inline-4 Gas,4WD,Gas,Automatic
78,2021,Ram,1500,"Limited Crew Cab 5'7"" Box 4WD","$71,999",Billet Silver Metallic Clearcoat,3.0L V-6 Diesel Turbocharged,4WD,Diesel,Automatic
79,2021,Nissan,Murano,SV FWD,"$37,607",Pearl White Tricoat,3.5L V-6 Gas,FWD,Gas,Automatic
80,2021,Nissan,Titan,S Crew Cab 4WD,"$44,607",Glacier White,5.6L V-8 Gas,4WD,Gas,Automatic
81,2020,Lincoln,Aviator,Reserve AWD,No Price Available,Ceramic White,3.0L V-6 Gas Turbocharged,AWD,Gas,Automatic
82,2021,Toyota,RAV4,Hybrid XLE AWD,"$34,542",Magnetic Gray Metallic,2.5L Inline-4 Hybrid,AWD,Hybrid,Automatic
83,2021,Nissan,Altima,2.5 SV FWD,"$28,119",Pearl White Tricoat,2.5L Inline-4 Gas,FWD,Gas,Automatic
84,2021,Ford,Explorer,XLT 4WD,"$42,102",Carbonized Gray Metallic,2.3L Inline-4 Gas Turbocharged,4WD,Gas,Automatic
85,2021,Ford,Escape,SEL FWD,"$31,909",Carbonized Gray Metallic,1.5L Inline-3 Gas Turbocharged,FWD,Gas,Automatic
86,2021,Mazda,CX-5,Grand Touring AWD,"$33,122",Eternal Blue Mica,2.5L Inline-4 Gas,AWD,gas,Automatic
87,2021,Mazda,CX-5,Grand Touring AWD,"$33,871",Deep Crystal Blue Mica,2.5L Inline-4 Gas,AWD,gas,Automatic
88,2021,Nissan,Altima,2.5 Platinum AWD,"$37,249",Pearl White Tricoat,2.5L Inline-4 Gas,AWD,Gas,Automatic
89,2021,Nissan,Rogue,Platinum AWD,"$43,097",Scarlet Ember Tintcoat,2.5L Inline-4 Gas,AWD,Gas,Automatic
90,2021,Ford,Expedition,Limited 4WD,"$68,737",Star White Metallic Tri-Coat,3.5L V-6 Gas Turbocharged,4WD,Gas,Automatic
91,2021,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,"$77,975",Space White Metallic,5.0L V-8 Gas,4WD,Gas,Automatic
92,2021,Ram,1500,"Limited Crew Cab 5'7"" Box 4WD","$71,652",Diamond Black Crystal Pearlcoat,3.0L V-6 Diesel Turbocharged,4WD,Diesel,Automatic
93,2021,Subaru,Crosstrek,2.5i Limited CVT,"$30,714",Cool Gray Khaki,2.5L Flat-4 Gas,AWD,Gas,Automatic
94,2021,Jeep,Gladiator,High Altitude,"$56,646",Black Clearcoat,3.0L V-6 Diesel Turbocharged,4WD,Diesel,Automatic
95,2021,Ram,1500 Classic,"Warlock Quad Cab 6'4"" Box 4WD","$45,571",Olive Green Pearlcoat,3.6L V-6 Gas,4WD,Gas,Automatic
96,2021,Toyota,Tundra,SR5 Double Cab 6.5' Bed 5.7L 2WD,"$39,453",Super White,5.7L V-8 Gas,RWD,Gas,Automatic
97,2021,Ram,1500,"Limited Crew Cab 5'7"" Box 4WD","$69,844",Granite Crystal Metallic Clearcoat,3.0L V-6 Diesel Turbocharged,4WD,Diesel,Automatic
98,2021,Chrysler,Pacifica,Touring L FWD,"$43,246",Billet Silver Metallic Clearcoat,3.6L V-6 Gas,FWD,Gas,Automatic
99,2021,Jeep,Cherokee,Latitude Plus 4WD,"$34,602",Billet Silver Metallic Clearcoat,2.4L Inline-4 Gas,4WD,Gas,Automatic
100,2021,Hyundai,Sonata,SEL Plus,"$33,507",Calypso Red,1.6L Inline-4 Gas Turbocharged,FWD,Gas,Automatic
101,2021,Ford,Edge,SEL AWD,"$40,746",Burgundy Velvet Metallic Tinted Clearcoat,2.0L Inline-4 Gas Turbocharged,AWD,Gas,Automatic
102,2021,Ford,F-150,XL SuperCrew 5.5' Box 4WD,"$46,166",Lead Foot,2.7L V-6 Gas Turbocharged,4WD,Gas,Automatic
103,2021,Nissan,Kicks,SV,"$23,815",Boulder Gray Pearl,1.6L Inline-4 Gas Turbocharged,FWD,Gas,Automatic
104,2021,Mazda,Mazda6,Grand Touring,"$31,810",Deep Crystal Blue,2.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic
105,2020,Kia,Sedona,L,No Price Available,Snow White Pearl,3.3L V-6 Gas,FWD,gas,Automatic
106,2022,Kia,Soul,LX IVT,"$26,145",Snow White Pearl,2.0L Inline-4 Gas,FWD,Gas,Automatic
107,2022,Kia,Sportage,LX AWD,"$27,717",Pacific Blue,2.4L Inline-4 Gas,AWD,gas,Automatic
108,2022,Kia,K5,GT-Line FWD,"$34,919",Wolf Gray,1.6L Inline-4 Gas Turbocharged,FWD,Gas,Automatic
109,2022,Kia,Soul,LX IVT,"$23,319",Snow White Pearl,2.0L Inline-4 Gas,FWD,Gas,Automatic
110,2022,Kia,Sportage,LX AWD,"$28,069",Black Cherry,2.4L Inline-4 Gas,AWD,gas,Automatic
111,2022,Kia,Sorento,LX FWD,"$38,639",Gravity Grey,2.5L Inline-4 Gas,FWD,Gas,Automatic
112,2022,Kia,Telluride,EX AWD,"$55,018",Wolf Gray,3.8L V-6 Gas,AWD,gas,Automatic
113,2022,Kia,Sorento,SX Prestige FWD,"$50,220",Ebony Black,2.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic
114,2021,Jeep,Gladiator,Freedom,"$50,613",Black Clearcoat,3.6L V-6 Gas,4WD,Gas,Automatic
115,2021,Nissan,Altima,2.5 S FWD,"$26,482",Super Black,2.5L Inline-4 Gas,FWD,Gas,Automatic
116,2021,Nissan,Altima,2.5 SR AWD,"$30,287",Super Black,2.5L Inline-4 Gas,AWD,Gas,Automatic
117,2021,Ford,Explorer,ST 4WD,"$62,251",Agate Black Metallic,3.0L V-6 Gas Turbocharged,4WD,Gas,Automatic
118,2022,GMC,Sierra 2500HD,Denali Crew Cab Standard Bed 4WD,"$81,417",Quicksilver Metallic,6.6L V-8 Diesel Turbocharged,4WD,Diesel,Automatic
119,2022,Toyota,Highlander,Hybrid LE FWD,"$41,771",Ruby Flare Pearl,2.5L Inline-4 Hybrid,FWD,Hybrid,Automatic
120,2021,Volkswagen,Tiguan,2.0T SE FWD,"$30,942",Stone Blue Metallic,2.0L Inline-4 Gas Turbocharged,FWD,Gas,Automatic
121,2021,Nissan,Rogue Sport,S AWD,"$27,783",Brilliant Silver Metallic,2.0L Inline-4 Gas,AWD,Gas,Automatic
122,2020,Kia,Forte,GT-Line IVT,No Price Available,Clear White,2.0L Inline-4 Gas,FWD,Gas,Automatic
123,2021,Nissan,Rogue Sport,S AWD,"$28,392",Gun Metallic,2.0L Inline-4 Gas,AWD,Gas,Automatic
124,2021,Nissan,Kicks,SV,"$22,809",Gun Metallic,1.6L Inline-4 Gas Turbocharged,FWD,Gas,Automatic
125,2022,Chevrolet,Colorado,LT Extended Cab Standard Box 4WD,"$38,945",Satin Steel Metallic,2.5L Inline-4 Gas,4WD,Gas,Automatic
126,2022,Hyundai,Tucson,SEL AWD,"$35,030",Portofino Gray,2.5L Inline-4 Gas,AWD,Gas,Automatic
127,2022,Kia,Soul,LX IVT,"$22,224",Inferno Red,2.0L Inline-4 Gas,FWD,Gas,Automatic
128,2021,Ford,Explorer,Limited 4WD,"$48,216",Stone Gray Metallic,2.3L Inline-4 Gas Turbocharged,4WD,Gas,Automatic
129,2021,Ford,Edge,SE AWD,"$32,368",Oxford White,2.0L Inline-4 Gas Turbocharged,AWD,Gas,Automatic
130,2021,Nissan,Altima,2.5 Platinum AWD,"$34,499",Super Black,2.5L Inline-4 Gas,AWD,Gas,Automatic
131,2021,Volkswagen,Jetta,SEL Automatic,"$27,641",Tornado Red,1.4L Inline-4 Gas Turbocharged,FWD,Gas,Automatic
132,2021,Jeep,Wrangler,Unlimited Willys,"$47,871",Black Clearcoat,3.6L V-6 Gas,4WD,Gas,Automatic
133,2021,Nissan,Murano,SV FWD,"$38,581",Pearl White Tricoat,3.5L V-6 Gas,FWD,Gas,Automatic
134,2021,Nissan,Armada,SV 2WD,"$57,191",Super Black,5.6L V-8 Gas,RWD,Gas,Automatic
135,2022,Ram,1500,"Big Horn Quad Cab 6'4"" Box 4WD","$49,835",Bright White Clearcoat,5.7L V-8 Gas,4WD,Gas,Automatic
136,2022,Land,Rover Discovery,HSE R-Dynamic P360,"$78,397",Portofino Blue Metallic,3.0L Inline-6 Hybrid Turbocharged,4WD,Hybrid,Automatic
137,2022,Audi,Q3,S line Premium Plus 45 TFSI,"$48,871",Navarra Blue Metallic,2.0L Inline-4 Gas Turbocharged,AWD,Gas,Automatic
138,2021,Chrysler,Pacifica,Hybrid Limited FWD,"$53,571",Luxury White Pearlcoat,3.6L V-6 Plug-In Hybrid,FWD,Plug-In Hybrid,Automatic
139,2021,Ford,Mustang,GT Premium Fastback,"$44,654",Shadow Black,5.0L V-8 Gas,RWD,Gas,Automatic
140,2021,Nissan,Titan,SV Crew Cab 4WD,"$62,208",Gun Metallic,5.6L V-8 Gas,4WD,Gas,Automatic
141,2021,Jeep,Gladiator,Rubicon,"$56,208",Granite Crystal Metallic Clearcoat,3.6L V-6 Gas,4WD,Gas,Automatic
142,2021,Jeep,Gladiator,Rubicon,"$55,256",Granite Crystal Metallic Clearcoat,3.6L V-6 Gas,4WD,Gas,Automatic
143,2021,Ford,F-150,XL SuperCrew 5.5' Box 4WD,"$45,567",Velocity Blue Metallic,2.7L V-6 Gas Turbocharged,4WD,Gas,Automatic
144,2021,Jeep,Gladiator,Sport S,"$44,488",Firecracker Red Clearcoat,3.6L V-6 Gas,4WD,Gas,Automatic
145,2022,Volvo,XC90 Recharge,Inscription Expression 7-Passenger,"$72,037",Crystal White Metallic,2.0L Inline-4 Plug-In Hybrid Supercharged and Turbocharged,AWD,Plug-In Hybrid,Automatic
146,2021,Ford,Mustang,EcoBoost Fastback,"$41,038",Carbonized Gray Metallic,2.3L Inline-4 Gas Turbocharged,RWD,Gas,Automatic
147,2022,Mitsubishi,Outlander,ES S-AWC,"$30,059",Red Diamond,2.5L Inline-4 Gas,4WD,Gas,Automatic
148,2021,Ford,Edge,ST Line FWD,"$40,802",Lithium Gray,2.0L Inline-4 Gas Turbocharged,FWD,Gas,Automatic
149,2021,Ford,Ranger,XLT SuperCrew 5' Box 4WD,"$36,686",Carbonized Gray Metallic,2.3L Inline-4 Gas Turbocharged,4WD,Gas,Automatic
150,2021,Ford,Escape,SE Hybrid FWD,"$32,502",Agate Black Metallic,2.5L Inline-4 Hybrid,FWD,Hybrid,Automatic
151,2021,Ford,Mustang,GT Premium Fastback,"$42,327",Velocity Blue Metallic,5.0L V-8 Gas,RWD,Gas,Manual
152,2021,Ford,Expedition,Limited 4WD,"$68,737",Star White Metallic Tri-Coat,3.5L V-6 Gas Turbocharged,4WD,Gas,Automatic
153,2021,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,"$77,975",Space White Metallic,5.0L V-8 Gas,4WD,Gas,Automatic
154,2022,Volkswagen,Taos,S FWD,"$23,802",Pure White,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic
155,2022,Chevrolet,Bolt EUV,Premier,"$43,340",Mosaic Black Metallic,L - Electric,FWD,Electric,Automatic
156,2021,Mazda,CX-5,Grand Touring AWD,"$33,728",Eternal Blue Mica,2.5L Inline-4 Gas,AWD,gas,Automatic
157,2021,Jeep,Grand Cherokee,L Limited 4WD,"$50,313",Diamond Black Crystal Pearlcoat,3.6L V-6 Gas,4WD,Gas,Automatic
158,2021,Jeep,Renegade,Latitude 4WD,"$26,792",Granite Crystal Metallic Clearcoat,2.4L Inline-4 Gas,4WD,Gas,Automatic
159,2021,Chrysler,Pacifica,Touring L FWD,"$41,944",Ocean Blue Metallic,3.6L V-6 Gas,FWD,Gas,Automatic
160,2022,Ram,1500,"Big Horn Quad Cab 6'4"" Box 4WD","$43,379",Diamond Black Crystal Pearlcoat,5.7L V-8 Gas,4WD,Gas,Automatic
161,2021,Dodge,Challenger,R/T Scat Pack RWD,"$47,840",F8 Green,6.4L V-8 Gas,RWD,gas,Automatic
162,2021,Dodge,Durango,R/T AWD,"$53,052",White Knuckle Clearcoat,5.7L V-8 Gas,AWD,Gas,Automatic
163,2022,Ram,1500,"Limited Crew Cab 5'7"" Box 4WD","$73,886",Blue Shade Pearlcoat,3.0L V-6 Diesel Turbocharged,4WD,Diesel,Automatic
164,2021,Jeep,Grand Cherokee,L Limited 4WD,"$52,239",Silver Zynith,3.6L V-6 Gas,4WD,Gas,Automatic
165,2021,Jeep,Grand Cherokee,L Limited 4WD,"$52,239",Diamond Black Crystal Pearlcoat,3.6L V-6 Gas,4WD,Gas,Automatic
166,2021,Chrysler,Pacifica,Touring FWD,"$39,924",Ceramic Gray Clearcoat,3.6L V-6 Gas,FWD,Gas,Automatic
167,2021,Jeep,Grand Cherokee,L Limited 4WD,"$52,239",Velvet Red Pearlcoat,3.6L V-6 Gas,4WD,Gas,Automatic
168,2021,Jeep,Gladiator,Overland,"$50,892",Black Clearcoat,3.6L V-6 Gas,4WD,Gas,Automatic
169,2021,Ford,Mustang,GT Fastback,"$43,325",Velocity Blue Metallic,5.0L V-8 Gas,RWD,Gas,Automatic
170,2021,Jeep,Gladiator,Sport,"$59,587",Snazzberry Pearlcoat,3.6L V-6 Gas,4WD,Gas,Automatic
171,2021,Mazda,CX-5,Grand Touring Reserve AWD,"$36,838",Snowflake White Pearl Mica,2.5L Inline-4 Gas Turbocharged,AWD,gas,Automatic
172,2021,Nissan,Murano,SL AWD,"$44,211",Magnetic Black Pearl,3.5L V-6 Gas,AWD,Gas,Automatic
173,2021,Nissan,Kicks,SV,"$22,665",Scarlet Ember Tintcoat/Super Black,1.6L Inline-4 Gas Turbocharged,FWD,Gas,Automatic
174,2021,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,"$52,380",Guard Metallic,5.0L V-8 Gas,4WD,Gas,Automatic
175,2021,Ford,Explorer,XLT 4WD,"$45,820",Carbonized Gray Metallic,2.3L Inline-4 Gas Turbocharged,4WD,Gas,Automatic
176,2021,Ford,Edge,SEL AWD,"$40,342",Rapid Red Metallic Tinted Clearcoat,2.0L Inline-4 Gas Turbocharged,AWD,Gas,Automatic
177,2021,Jeep,Wrangler,Willys,"$43,997",Snazzberry Pearlcoat,3.6L V-6 Gas,4WD,Gas,Automatic
178,2021,Ram,1500,"Limited Crew Cab 5'7"" Box 2WD","$67,237",Bright White Clearcoat,5.7L V-8 Gas,RWD,Gas,Automatic
179,2021,Jeep,Renegade,Jeepster FWD,"$24,161",Colorado Red Clearcoat,2.4L Inline-4 Gas,FWD,Gas,Automatic
180,2021,Jeep,Gladiator,Sport,"$57,822",Bright White Clearcoat,3.6L V-6 Gas,4WD,Gas,Automatic
181,2021,Nissan,Rogue,SV AWD,"$31,246",Scarlet Ember Tintcoat,2.5L Inline-4 Gas,AWD,Gas,Automatic
182,2021,Nissan,Rogue,SL AWD,"$38,050",Gun Metallic,2.5L Inline-4 Gas,AWD,Gas,Automatic
183,2021,Nissan,Rogue,SL AWD,"$38,456",Scarlet Ember Tintcoat,2.5L Inline-4 Gas,AWD,Gas,Automatic
184,2022,Chevrolet,Bolt EUV,LT,"$36,639",Summit White,L - Electric,FWD,Electric,Automatic
185,2021,Nissan,Titan,SV Crew Cab 2WD,"$48,871",Glacier White,5.6L V-8 Gas,RWD,Gas,Automatic
186,2022,Jeep,Compass,Trailhawk 4WD,"$32,872",Diamond Black Crystal Pearlcoat,2.4L Inline-4 Gas,4WD,Gas,Automatic
187,2022,Ram,1500,"Big Horn Crew Cab 5'7"" Box 2WD","$46,890",Delmonico Red Pearlcoat,5.7L V-8 Gas,RWD,Gas,Automatic
188,2022,Ram,1500,"Big Horn Quad Cab 6'4"" Box 4WD","$50,217",Granite Crystal Metallic Clearcoat,5.7L V-8 Gas,4WD,Gas,Automatic
189,2022,Volkswagen,Tiguan,SE R-Line Black FWD,"$34,578",Pure White,2.0L Inline-4 Gas Turbocharged,FWD,Gas,Automatic
190,2021,Hyundai,Sonata,SEL,"$28,805",Hampton Gray,2.5L Inline-4 Gas,FWD,Gas,Automatic
191,2021,Jeep,Gladiator,Sport,"$59,189",Hydro Blue Pearlcoat,3.6L V-6 Gas,4WD,Gas,Automatic
192,2021,Ram,1500,"Limited Crew Cab 5'7"" Box 4WD","$71,652",Diamond Black Crystal Pearlcoat,3.0L V-6 Diesel Turbocharged,4WD,Diesel,Automatic
193,2021,Jeep,Grand Cherokee,L Limited 4WD,"$47,789",Diamond Black Crystal Pearlcoat,3.6L V-6 Gas,4WD,Gas,Automatic
194,2021,Jeep,Grand Cherokee,L Limited 4WD,"$50,313",Baltic Gray Metallic Clearcoat,3.6L V-6 Gas,4WD,Gas,Automatic
195,2021,Ram,1500,"Limited Crew Cab 5'7"" Box 4WD","$71,999",Billet Silver Metallic Clearcoat,3.0L V-6 Diesel Turbocharged,4WD,Diesel,Automatic
196,2021,Nissan,Murano,SV FWD,"$37,607",Pearl White Tricoat,3.5L V-6 Gas,FWD,Gas,Automatic
