,year,make,model,sub_model,price,exterior_color,engine,drive_type,fuel_type,transmission
7768,2021,Ford,F-150,XL SuperCrew 5.5' Box 2WD,"$44,124",Race Red,2.7L V-6 Gas Turbocharged,RWD,Gas,Automatic
7769,2021,Toyota,C-HR,Nightshade FWD,"$26,063",Black Sand Pearl,2.0L Inline-4 Gas,FWD,Gas,Automatic
7770,2022,Cadillac,XT6,Premium Luxury FWD,"$58,052",Infrared Tintcoat,3.6L V-6 Gas,FWD,Gas,Automatic
7771,2021,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,"$61,102",Oxford White,3.5L V-6 Gas Turbocharged,4WD,Gas,Automatic
7772,2022,Jeep,Wagoneer,Series II 4WD,"$76,429",Velvet Red Pearlcoat,5.7L V-8 Gas,4WD,Gas,Automatic
7773,2021,Chrysler,Pacifica,Touring FWD,"$38,601",Granite Crystal Metallic Clearcoat,3.6L V-6 Gas,FWD,Gas,Automatic
7774,2019,Jeep,Cherokee,Limited FWD,"$30,073",Bright White Clearcoat,2.4L Inline-4 Gas,FWD,Gas,Automatic
7775,2021,Ford,Mustang Mach-E,Select RWD,"$44,539",Star White Metallic Tri-Coat,L - Electric,RWD,Electric,Automatic
7776,2021,Ford,Mustang Mach-E,Select RWD,"$46,776",Space White Metallic,L - Electric,RWD,Electric,Automatic
7777,2021,Ford,EcoSport,SE FWD,"$23,825",Smoke Metallic,1.0L Inline-3 Gas Turbocharged,FWD,Gas,Automatic
7778,2021,Ford,Escape,SE FWD,"$27,618",Carbonized Gray Metallic,1.5L Inline-3 Gas Turbocharged,FWD,Gas,Automatic
7779,2021,Ford,EcoSport,SE FWD,"$23,825",Diamond White,1.0L Inline-3 Gas Turbocharged,FWD,Gas,Automatic
7780,2021,Ford,EcoSport,SE FWD,"$23,825",Moondust Silver Metallic,1.0L Inline-3 Gas Turbocharged,FWD,Gas,Automatic
7781,2021,Ford,EcoSport,SE FWD,"$23,825",Diamond White,1.0L Inline-3 Gas Turbocharged,FWD,Gas,Automatic
7782,2021,Ford,EcoSport,Titanium FWD,"$27,589",White Platinum Metallic Tri-Coat,1.0L Inline-3 Gas Turbocharged,FWD,Gas,Automatic
7783,2022,Toyota,4Runner,SR5 Premium RWD,"$46,262",Magnetic Gray Metallic,4.0L V-6 Gas,RWD,Gas,Automatic
7784,2022,Toyota,Sequoia,SR5 4WD,"$61,796",Magnetic Gray Metallic,5.7L V-8 Gas,4WD,Gas,Automatic
7785,2021,Subaru,Forester,2.5i Premium,"$30,753",Crimson Red Pearl,2.5L Flat-4 Gas,AWD,Gas,Automatic
7786,2021,Chevrolet,Silverado 1500,LT Crew Cab Standard Bed 4WD,"$51,553",Black,3.0L Inline-6 Diesel Turbocharged,4WD,Diesel,Automatic
7787,2021,Ford,F-150,XL SuperCrew 5.5' Box 2WD,"$38,806",Oxford White,3.3L V-6 Gas,RWD,Gas,Automatic
7788,2021,Ford,EcoSport,SE FWD,"$23,825",Moondust Silver Metallic,1.0L Inline-3 Gas Turbocharged,FWD,Gas,Automatic
7789,2021,Ford,EcoSport,SE FWD,"$23,825",Lightning Blue Metallic,1.0L Inline-3 Gas Turbocharged,FWD,Gas,Automatic
7790,2021,Nissan,Rogue Sport,SV AWD,"$29,417",Caspian Blue Metallic,2.0L Inline-4 Gas,AWD,Gas,Automatic
7791,2022,Chevrolet,Silverado 1500 LTD,LT with 1LT Crew Cab Short Bed 4WD,"$49,932",Mosaic Black Metallic,5.3L Inline-8 Gas Turbocharged,4WD,Gas,Automatic
7792,2022,Chevrolet,Bolt EUV,Premier,"$40,490",Gray Ghost Metallic,L - Electric,FWD,Electric,Automatic
7793,2021,Ram,1500,"Big Horn Quad Cab 6'4"" Box 4WD","$48,105",Diamond Black Crystal Pearlcoat,5.7L V-8 Gas,4WD,Gas,Automatic
7794,2021,Dodge,Charger,SXT RWD,"$31,270",Indigo Blue,3.6L V-6 Gas,RWD,gas,Automatic
7795,2021,Jeep,Cherokee,Altitude FWD,"$32,237",Diamond Black Crystal Pearlcoat,2.4L Inline-4 Gas,FWD,Gas,Automatic
7796,2021,Dodge,Charger,SXT RWD,"$31,270",Indigo Blue,3.6L V-6 Gas,RWD,gas,Automatic
7797,2022,Jeep,Wagoneer,Series III 4WD,"$83,754",Baltic Gray Metallic Clearcoat,5.7L V-8 Hybrid,4WD,Hybrid,Automatic
7798,2022,Toyota,Tacoma,SR5 Double Cab 5' Bed V6 2WD Automatic,"$37,294",Super White,3.5L V-6 Gas,RWD,Gas,Automatic
7799,2022,Hyundai,Santa Fe,SEL AWD,"$39,821",Quartz White,2.5L Inline-4 Gas,AWD,Gas,Automatic
7800,2022,Hyundai,Sonata,SE,"$26,327",Stormy Sea,2.5L Inline-4 Gas,FWD,Gas,Automatic
7801,2022,Jeep,Gladiator,Sport S 4WD,No Price Available,Firecracker Red Clearcoat,3.6L V-6 Gas,4WD,Gas,Automatic
7802,2022,Ford,Super Duty F-250,LARIAT Crew Cab 6.75' Box 4WD,"$79,741",Atlas Blue Metallic,6.7L V-8 Diesel Turbocharged,4WD,Diesel,Automatic
7803,2021,Ford,EcoSport,S FWD,"$19,212",Luxe Yellow,1.0L Inline-3 Gas Turbocharged,FWD,Gas,Automatic
7804,2021,Ford,Mustang Mach-E,Select AWD,"$48,069",Rapid Red Metallic Tinted Clearcoat,L - Electric,AWD,Electric,Automatic
7805,2021,Ford,Edge,Titanium AWD,"$44,844",Star White Metallic Tri-Coat,2.0L Inline-4 Gas Turbocharged,AWD,Gas,Automatic
7806,2021,Ford,EcoSport,SE FWD,"$21,829",Lightning Blue Metallic,1.0L Inline-3 Gas Turbocharged,FWD,Gas,Automatic
7807,2021,Ford,EcoSport,SE FWD,"$21,435",Smoke Metallic,1.0L Inline-3 Gas Turbocharged,FWD,Gas,Automatic
7808,2021,Cadillac,CT5,Premium Luxury,"$51,583",Diamond Sky Metallic,3.0L V-6 Gas Turbocharged,RWD,Gas,Automatic
7809,2021,Nissan,Altima,2.5 S FWD,"$26,623",Super Black,2.5L Inline-4 Gas,FWD,Gas,Automatic
7810,2021,Nissan,Kicks,SV,"$24,525",Scarlet Ember Tintcoat/Super Black,1.6L Inline-4 Gas Turbocharged,FWD,Gas,Automatic
7811,2021,Nissan,Rogue Sport,S AWD,"$27,173",Glacier White,2.0L Inline-4 Gas,AWD,Gas,Automatic
7812,2022,Mitsubishi,Outlander,SEL FWD,"$35,218",Deep Bronze Metallic,2.5L Inline-4 Gas,FWD,Gas,Automatic
7813,2022,Mitsubishi,Eclipse Cross,SEL FWD,"$29,949",Labrador Black Pearl,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic
7814,2021,Mazda,CX-5,Carbon Edition Turbo AWD,"$35,967",Polymetal Gray,2.5L Inline-4 Gas Turbocharged,AWD,Gas,Automatic
7815,2021,Mazda,CX-5,Touring AWD,"$32,693",Snowflake White Pearl Mica,2.5L Inline-4 Gas,AWD,Gas,Automatic
7816,2021,Ford,F-150,Lariat SuperCrew 5.5' Box 4WD,"$70,387",Star White Metallic Tri-Coat,3.5L V-6 Gas Turbocharged,4WD,Gas,Automatic
