,year,make,model,sub_model,city,state,mileage,price,style,exterior_color,interior_color,engine,drive_type,fuel_type,transmission,accidents,title,owners,use_type
2836,2018,Honda,Accord,Sport 1.5T CVT,Berkeley,CA,85749,23250,Sedan,Crystal Black Pearl,Black,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,0,Clean,1,Fleet Use
2837,2018,Ford,F-150,Limited SuperCrew 5.5' Box 4WD,Greenwood,IN,41145,49936,Pickup Truck,Shadow Black,Navy Pier,3.5L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,2,Fleet Use
2838,2019,Toyota,Corolla,LE CVT,Corpus Christi,TX,18326,21505,Sedan,Super White,Ash,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,1,Personal Use
2839,2020,Toyota,Camry,LE FWD Automatic,Vista,CA,65231,19190,Sedan,Charcoal,Ash,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,1,Mixed Use
2840,2015,Honda,Civic,LX Sedan CVT,Carlsbad,CA,58529,15977,Sedan,Alabaster Silver Metallic,Unknown,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,2,Personal Use
2841,2018,Ford,Escape,SE FWD,Columbus,OH,54501,19845,SUV,Shadow Black,Charcoal Black,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,0,Clean,1,Personal Use
2842,2018,Ford,F-150,Lariat SuperCrew 5.5' Box 2WD,Morehead City,NC,33629,38550,Pickup Truck,White Platinum Metallic Tri-Coat,Medium Light Camel,2.7L V-6 Gas Turbocharged,RWD,Gas,Automatic,0,Clean,1,Personal Use
2843,2019,Jeep,Cherokee,Limited 4WD,Sandusky,OH,43791,27428,SUV,Bright White Clearcoat,Black,3.2L V-6 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use
2844,2018,Toyota,Camry,XSE I4 Automatic,Little Neck,NY,19461,26890,Sedan,White,Cockpit Red,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,0,Personal Use
2845,2019,Chevrolet,Malibu,LT with 1LT,Killeen,TX,31014,22895,Sedan,Shadow Gray Metallic,Jet Black,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,1,Clean,1,Personal Use
2846,2017,Honda,Accord,Sport Special Edition Sedan CVT,Fairfield,CA,93148,19994,Sedan,White Orchid Pearl,Black,2.4L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,2,Personal Use
2847,2018,Chevrolet,Volt,LT,Vallejo,CA,30703,23292,Sedan,Silver Ice Metallic,Jet Black/Jet Black,1.5L Inline-4 Plug-In Hybrid,FWD,Plug-In Hybrid,Automatic,0,Clean,1,Personal Use
2848,2014,Ford,Focus,SE Sedan,Cincinnati,OH,56300,7495,Sedan,Ingot Silver Metallic,Unknown,2.0L Inline-4 Gas,FWD,Gas,Manual,0,Clean,3,Personal Use
2849,2018,Jeep,Wrangler,Unlimited Sport S (JL),Houston,TX,37869,38000,SUV,Black Clearcoat,Black/Heritage Tan,3.6L V-6 Gas,4WD,Gas,Automatic,1,Clean,1,Personal Use
2850,2019,Toyota,Corolla,LE CVT,Fremont,CA,56132,18999,Sedan,White,Gray,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,1,Personal Use
2851,2020,Ram,1500,"Big Horn Crew Cab 5'7"" Box 4WD",Cookeville,TN,29592,42991,Pickup Truck,Flame Red Clearcoat,Diesel Gray/Black,3.6L V-6 Gas,4WD,Gas,Automatic,0,Clean,1,Rental Use
2852,2020,Toyota,Corolla,LE CVT,Salisbury,NC,12959,22877,Sedan,Super White,Macadamia,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,1,Personal Use
2853,2019,Jeep,Cherokee,Limited 4WD,Windsor,CO,64967,23400,SUV,Diamond Black Crystal Pearlcoat,Black,3.2L V-6 Gas,4WD,Gas,Automatic,0,Clean,3,Fleet Use
2854,2018,Chrysler,Pacifica,Touring L Plus,Laurel,MD,19585,34489,Minivan,Bright White Clearcoat,Black/Alloy,3.6L V-6 Gas,FWD,Gas,Automatic,0,Clean,1,Personal Use
2855,2018,Toyota,RAV4,XLE FWD,Winter Park,FL,82575,22695,SUV,Black,Black,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,2,Rental Use
