,year,make,model,sub_model,city,state,mileage,price,style,exterior_color,interior_color,engine,drive_type,fuel_type,transmission,accidents,title,owners,use_type,cpo
7491,2019,Toyota,Camry,SE Automatic,Fort Lauderdale,FL,"22,463","$26,741",Sedan,Super White,Black,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,2,Personal Use,True
7492,2020,Chevrolet,Silverado 1500,RST Crew Cab Short Bed 4WD,Foley,AL,"2,901","$52,800",Pickup Truck,Summit White,Jet Black,5.3L Inline-8 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
7493,2004,Maybach,57,4dr Sedan SWB,Jacksonville,FL,"21,956","$66,999",Sedan,Himalayas Dark Grey,Black,5.5L V-12 Gas Turbocharged,RWD,Gas,Automatic,0,Clean,3,Personal Use,True
7494,2018,Honda,CR-V,EX AWD,Lutherville Timonium,MD,"34,129","$28,000",SUV,White Diamond Pearl,Black,1.5L Inline-4 Gas Turbocharged,AWD,Gas,Automatic,0,Clean,1,Personal Use,True
7495,2020,Chevrolet,Traverse,Premier AWD,Odessa,TX,"23,000","$46,988",SUV,Summit White,Jet Black,3.6L V-6 Gas,AWD,Gas,Automatic,0,Clean,1,Personal Use,True
7496,2004,Chrysler,Concorde,LXi,Orlando,FL,"126,704","$2,950",Sedan,Stone White,Black,3.5L V-6 Gas,FWD,Gas,Automatic,0,Clean,4,Mixed Use,True
7497,2014,Toyota,Corolla,L Automatic,Jacksonville,FL,"155,002","$8,700",Sedan,Barcelona Red Metallic,Ivory,1.8L Inline-4 Gas,FWD,Gas,Automatic,2,Clean,2,Rental Use,True
7498,2019,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Springfield,PA,"36,664","$41,995",Pickup Truck,Ingot Silver Metallic,Medium Earth Gray,5.0L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
7499,2019,Ford,Edge,SEL AWD,Puyallup,WA,"29,010","$29,922",SUV,Oxford White,Ebony,2.0L Inline-4 Gas Turbocharged,AWD,Gas,Automatic,0,Clean,1,Rental Use,True
7500,2016,Volkswagen,CC,Sport FWD DSG (PZEV),Winchester,VA,"89,699","$15,000",Sedan,Black,Unknown,2.0L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,0,Clean,2,Fleet Use,True
7501,2018,Jeep,Wrangler,Unlimited Sport S (JK),Murfreesboro,TN,"42,796","$33,681",SUV,Bright White Clearcoat,Black,3.6L V-6 Gas,4WD,Gas,Automatic,0,Clean,2,Rental Use,True
7502,2017,Kia,Sorento,LX I4 FWD,Temple,TX,"84,454","$17,995",SUV,Titanium Silver,Satin Black,2.4L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,3,Personal Use,True
7503,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Butler,NJ,"29,096","$43,995",Pickup Truck,Black Velvet,Black,2.7L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Fleet Use,True
7504,2018,Buick,Encore,Preferred FWD,Fort Worth,TX,"25,221","$21,590",SUV,White Frost Tricoat,Ebony,1.4L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,0,Clean,1,Personal Use,True
7505,2017,Chevrolet,Cruze,LT with 1SD Sedan Automatic,Aumsville,OR,"107,731","$11,988",Sedan,Summit White,Jet Black,1.4L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,0,Clean,2,Mixed Use,True
7506,2018,Ford,Fusion,SE FWD,Taylorville,IL,"24,534","$21,567",Sedan,Magnetic Metallic,Ebony,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,0,Clean,1,Fleet Use,True
7507,2018,BMW,5 Series,530i RWD,Mckinney,TX,"32,701","$34,000",Sedan,Glacier Silver Metallic,Black,2.0L Inline-4 Gas Turbocharged,RWD,Gas,Automatic,0,Clean,1,Personal Use,True
7508,2019,Honda,CR-V,EX FWD,Kissimmee,FL,"31,762","$28,402",SUV,Crystal Black Pearl,Black,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,0,Clean,1,Personal Use,True
7509,2018,Chevrolet,Silverado 1500,LT Crew Cab Short Box 4WD,Nashville,TN,"53,700","$37,500",Pickup Truck,Summit White,Dark Ash With Jet Black Interior Accents,5.3L V-8 Hybrid,4WD,Hybrid,Automatic,0,Clean,1,Personal Use,True
7510,2020,Nissan,Altima,2.5 S FWD,Orlando,FL,"26,541","$21,490",Sedan,Gun Metallic,Charcoal,2.5L Inline-4 Gas,FWD,Gas,Automatic,1,Clean,2,Rental Use,True
7511,2020,Kia,Soul,LX IVT,Lufkin,TX,"20,503","$20,427",Hatchback,Solar Yellow,Black,2.0L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,1,Personal Use,True
7512,2019,BMW,X5,xDrive40i,Saint Petersburg,FL,"30,743","$54,995",SUV,Arctic Gray Metallic,Black,3.0L Inline-6 Gas Turbocharged,AWD,Gas,Automatic,0,Clean,1,Personal Use,True
7513,2018,Hyundai,Elantra,SE 2.0L Sedan Automatic (alt),Gardena,CA,"29,698","$17,187",Sedan,Molten Silver,Gray,2.0L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,2,Personal Use,True
7514,2002,Ford,Super Duty F-250,"Lariat Supercab 142"" 4WD",Lenoir,NC,"79,000","$8,800",Pickup Truck,Black,Gray,5.4L V-8 Gas,4WD,Gas,Automatic,0,Clean,2,Personal Use,True
7515,2017,Ford,Expedition,XLT 4WD,San Antonio,TX,"76,460","$29,995",SUV,Ingot Silver,Ebony,3.5L V-6 Gas Turbocharged,4WD,Gas,Automatic,1,Clean,2,Mixed Use,True
7516,2018,Jeep,Wrangler,Unlimited Sahara (JL),Orlando,FL,"38,791","$40,711",SUV,Bright White Clearcoat,Black,3.6L V-6 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
7517,2019,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Tampa,FL,"22,567","$41,981",Pickup Truck,Magma Red Metallic,Black,2.7L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Fleet Use,True
7518,2020,Ford,F-150,Lariat SuperCrew 5.5' Box 4WD,Amherst,VA,"19,331","$51,994",Pickup Truck,Oxford White,Black,5.0L V-8 Gas Twin-Turbo,4WD,Gas,Automatic,0,Clean,1,Rental Use,True
