,year,make,model,sub_model,city,state,mileage,price,style,exterior_color,interior_color,engine,drive_type,fuel_type,transmission,accidents,title,owners,use_type,cpo
0,2021,Chevrolet,Suburban,LT RWD,San Antonio,TX,"8,404","$67,994",SUV,Satin Steel Metallic,Jet Black,5.3L V-8 Gas,RWD,Gas,Automatic,0,Clean,1,Personal Use,True
1,2017,Cadillac,CTS,Premium Luxury 3.6 AWD,Phoenix,AZ,"29,342","$37,000",Sedan,Black Raven,Jet Black With Morello Red Accents,3.6L V-6 Gas,AWD,Gas,Automatic,0,Clean,1,Personal Use,True
2,2019,Kia,Forte,LXS IVT,Bensalem,PA,"17,593","$22,395",Sedan,Clear White,Black,2.0L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,2,Personal Use,True
3,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Hudson,WI,"195,205","$20,995",Pickup Truck,Shadow Black,Medium Earth Gray,2.7L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
4,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Pikeville,KY,"47,922","$32,988",Pickup Truck,Black,Black,3.3L V-6 Gas,4WD,Gas,Automatic,0,Clean,4,Rental Use,True
5,2019,Ford,Super Duty F-250,Lariat 4WD Crew Cab 6.75' Box,Lubbock,TX,"24,553","$57,899",Pickup Truck,White Platinum Metallic Tri-Coat,Medium Light Camel,6.2L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
6,2015,Nissan,Altima,2.5 S,Lubbock,TX,"119,901","$11,785",Sedan,Super Black,Charcoal,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,2,Rental Use,True
7,2015,Nissan,Altima,2.5 S,Tempe,AZ,"92,366","$10,995",Sedan,White,Black,2.5L Inline-4 Gas,FWD,Gas,Automatic,1,Clean,2,Mixed Use,True
8,2018,Toyota,RAV4,XLE FWD,Ocala,FL,"33,633","$21,977",SUV,Silver Sky Metallic,Black,2.5L Inline-4 Gas,FWD,Gas,Automatic,1,Clean,1,Personal Use,True
9,2018,Chevrolet,Silverado 1500,LT Z71 Crew Cab Short Box 4WD,Austin,TX,"159,889","$25,950",Pickup Truck,Silver Ice Metallic,Jet Black,5.3L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
10,2017,Ford,Super Duty F-250,King Ranch Crew Cab 6.75' Bed 4WD,Columbus,TX,"127,131","$45,391",Pickup Truck,White Platinum Metallic Tri-Coat,Java,6.2L V-8 Gas,4WD,Gas,Automatic,0,Clean,2,Personal Use,True
11,2019,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Lindon,UT,"45,891","$30,500",Pickup Truck,Silver,Medium Earth Gray,5.0L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Rental Use,True
12,2019,Chevrolet,Silverado 1500 LD,LT with 1LT Double Cab Standard Box 4WD,Caledonia,MI,"116,180","$24,997",Pickup Truck,Summit White,Jet Black,5.3L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
13,2017,Ford,Fusion,SE FWD,Georgetown,TX,"108,861","$12,313",Sedan,Oxford White,Unknown,2.5L Inline-4 Gas,FWD,Gas,Automatic,1,Clean,3,Fleet Use,True
14,2018,Dodge,Charger,SXT Plus RWD,El Paso,TX,"91,900","$20,465",Sedan,Octane Red Pearlcoat,Black,3.6L V-6 Gas,RWD,Gas,Automatic,1,Clean,3,Rental Use,True
15,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Brownsville,TN,"110,104","$28,200",Pickup Truck,Blue,Unknown,3.3L V-6 Gas,4WD,Gas,Automatic,0,Clean,3,Fleet Use,True
16,2020,Toyota,Corolla,LE CVT,Vista,CA,"64,386","$17,299",Sedan,Super White,Black,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,1,Rental Use,True
17,2018,Subaru,Outback,2.5i Premium,Trenton,NJ,"48,822","$19,500",SUV,Crystal White Pearl,Slate Black,2.5L Flat-4 Gas,AWD,Gas,Automatic,1,Clean,3,Personal Use,True
18,2019,Honda,Civic,LX Sedan CVT,Fullerton,CA,"24,859","$17,499",Sedan,Crystal Black Pearl,Black,2.0L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,1,Personal Use,True
19,2016,Toyota,4Runner,SR5 V6 RWD,El Paso,TX,"192,515","$19,700",SUV,Magnetic Gray Metallic,Black/Graphite,4.0L V-6 Gas,RWD,Gas,Automatic,1,Clean,1,Personal Use,True
20,2018,Nissan,Sentra,SV CVT,San Diego,CA,"108,158","$10,995",Sedan,Brilliant Silver,Charcoal,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,1,Fleet Use,True
21,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Blackfoot,ID,"121,374","$26,979",Pickup Truck,Magnetic Metallic,Medium Earth Gray,2.7L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
22,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Indianapolis,IN,"109,353","$27,491",Pickup Truck,Silver,Gray,3.3L V-6 Gas,4WD,Gas,Automatic,0,Clean,2,Rental Use,True
23,2016,Nissan,Altima,2.5 S,San Antonio,TX,"110,784","$10,900",Sedan,Cayenne Red,Beige,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,2,Fleet Use,True
24,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Greeley,CO,"139,323","$24,995",Pickup Truck,Blue,Gray,2.7L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Fleet Use,True
25,2018,Chevrolet,Equinox,LT with 1LT FWD,Savannah,GA,"161,016","$13,995",SUV,Silver Ice Metallic,Jet Black,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,0,Clean,1,Personal Use,True
26,2018,Chevrolet,Silverado 1500,LT Crew Cab Short Box 4WD,Santa Fe,NM,"56,708","$31,300",Pickup Truck,Black,Jet Black,4.3L V-6 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
27,2019,Nissan,Sentra,SV CVT,Los Angeles,CA,"40,000","$12,850",Sedan,Gun Metallic,Charcoal,1.8L Inline-4 Gas,FWD,Gas,Automatic,2,Clean,2,Fleet Use,True
28,2018,Ford,F-150,XL SuperCrew 5.5' Box 4WD,Norwalk,OH,"52,338","$31,500",Pickup Truck,Shadow Black,Black,3.3L V-6 Gas,4WD,Gas,Automatic,0,Clean,2,Personal Use,True
29,2019,Ford,Super Duty F-250,Lariat 4WD Crew Cab 6.75' Box,Webster,TX,"50,741","$55,999",Pickup Truck,Oxford White,Black,6.2L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
30,2018,Nissan,Rogue,SV AWD,Kenvil,NJ,"22,892","$19,995",SUV,Pearl White,Charcoal,2.5L Inline-4 Gas,AWD,Gas,Automatic,0,Clean,1,Personal Use,True
31,2017,Ford,Super Duty F-250,Lariat Crew Cab 8' Bed 4WD,Manvel,TX,"68,920","$44,643",Pickup Truck,White,Xlt,6.2L V-8 Gas,4WD,Gas,Automatic,0,Clean,2,Mixed Use,True
32,2019,Toyota,Tacoma,TRD Pro Double Cab 5' Bed V6 4WD Automatic,San Diego,CA,"46,209","$40,000",Pickup Truck,Midnight Black Metallic,Graphite,3.5L V-6 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
33,2019,Toyota,4Runner,Limited RWD,Sarasota,FL,"51,603","$34,991",SUV,Super White,Black Graphite,4.0L V-6 Gas,RWD,Gas,Automatic,0,Clean,1,Mixed Use,True
34,2014,Ram,1500,"Express Crew Cab 5'7"" Box 2WD",Abilene,TX,"259,034","$12,995",Pickup Truck,Deep Cherry Red Crystal Pearlcoat,Diesel Gray/Black,5.7L V-8 Gas,RWD,Gas,Automatic,0,Clean,1,Personal Use,True
35,2019,Ford,Edge,SEL AWD,Hialeah,FL,"60,056","$21,920",SUV,White Platinum Metallic Tri-Coat,Black,2.0L Inline-4 Gas Turbocharged,AWD,Gas,Automatic,0,Clean,1,Rental Use,True
36,2019,Chevrolet,Impala,Premier with 2LZ,Gainesville,GA,"100,439","$18,450",Sedan,Nightfall Gray Metallic,Jet Black,3.6L V-6 Gas,FWD,Gas,Automatic,0,Clean,2,Mixed Use,True
37,2019,Ford,F-150,XL Regular Cab 8.0' Box 2WD,Scottsdale,AZ,"45,865","$19,900",Pickup Truck,Oxford White,Dark Earth Gray,3.3L V-6 Gas,RWD,Gas,Automatic,0,Clean,1,Fleet Use,True
38,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,El Paso,TX,"41,895","$33,865",Pickup Truck,Ingot Silver Metallic,Unknown,3.3L V-6 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
39,2014,Ford,F-150,XL SuperCrew 5.5' Box 4WD,Hayward,CA,"96,957","$20,999",Pickup Truck,White,Gray,5.0L V-8 Gas,4WD,Gas,Automatic,0,Clean,0,Personal Use,True
40,2016,Ford,Super Duty F-250,"XLT Crew Cab 156"" 4WD",Houston,TX,"205,900","$21,998",Pickup Truck,Shadow Black,Steel,6.2L V-8 Gas,4WD,Gas,Automatic,0,Clean,2,Mixed Use,True
41,2018,Chevrolet,Malibu,LT with 1LT,Ocala,FL,"39,640","$18,988",Sedan,Mosaic Black Metallic,Jet Black,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,1,Clean,2,Rental Use,True
42,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Denton,TX,"66,917","$31,660",Pickup Truck,Silver,Medium Earth Gray,2.7L V-6 Gas Turbocharged,4WD,Gas,Automatic,1,Clean,2,Rental Use,True
43,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Mooresville,IN,"184,570","$27,585",Pickup Truck,Black Velvet,Medium Earth Gray,5.0L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
44,2018,Mercedes-Benz,C-Class,C 300 4MATIC Sedan,Newark,NJ,"52,345","$23,995",Sedan,Polar White,Silk Beige/Black,2.0L Inline-4 Gas Turbocharged,AWD,Gas,Automatic,0,Clean,1,Fleet Use,True
45,2018,Toyota,Corolla,LE CVT,Fort Pierce,FL,"89,204","$15,500",Sedan,Falcon Gray Metallic,Unknown,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,3,Personal Use,True
46,2014,Ford,F-150,XLT SuperCab 8.0' Box 4WD,Cincinnati,OH,"380,309","$10,989",Pickup Truck,Tuxedo Black Metallic,Steel Gray,5.0L V-8 Gas,4WD,Gas,Automatic,1,Clean,2,Personal Use,True
47,2017,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Grand Rapids,MI,"113,243","$25,890",Pickup Truck,White,Unknown,3.5L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,0,Personal Use,True
48,2018,Ford,Explorer,XLT FWD,Manteca,CA,"35,691","$32,988",SUV,Shadow Black,Unknown,3.5L V-6 Gas,FWD,Gas,Automatic,3,Clean,1,Personal Use,True
49,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Fayetteville,NC,"119,036","$28,210",Pickup Truck,Black,Gray,5.0L V-8 Gas,4WD,Gas,Automatic,0,Clean,2,Rental Use,True
50,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Colorado Springs,CO,"28,833","$37,782",Pickup Truck,Black,Unknown,2.7L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Fleet Use,True
51,2017,Ford,Escape,SE 4WD,Seguin,TX,"69,796","$15,995",SUV,Ingot Silver Metallic,Gray,1.5L Inline-4 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Fleet Use,True
52,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Lafayette,IN,"44,893","$31,998",Pickup Truck,Ingot Silver Metallic,Black,3.3L V-6 Gas,4WD,Gas,Automatic,0,Clean,2,Rental Use,True
53,2019,Ford,Super Duty F-250,XLT 4WD Crew Cab 6.75' Box,Ukiah,CA,"1,883","$46,998",Pickup Truck,Black,Unknown,6.2L V-8 Gas,4WD,Gas,Automatic,1,Clean,1,Mixed Use,True
54,2019,Honda,Civic,Sport Sedan CVT,San Diego,CA,"11,743","$15,999",Sedan,Aegean Blue Metallic,Black,2.0L Inline-4 Gas,FWD,Gas,Automatic,1,Salvage History,1,Personal Use,True
55,2019,Nissan,Rogue,S AWD,Hatboro,PA,"105,616","$15,995",SUV,Gun Metallic,Charcoal,2.5L Inline-4 Gas,AWD,Gas,Automatic,0,Clean,1,Personal Use,True
56,2018,Ford,Escape,SE FWD,Lima,OH,"28,227","$18,999",SUV,Shadow Black,Charcoal Black,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,0,Clean,1,Personal Use,True
57,2019,Ford,Edge,SEL AWD,Hialeah,FL,"58,094","$22,490",SUV,White Platinum Metallic Tri-Coat,Black,2.0L Inline-4 Gas Turbocharged,AWD,Gas,Automatic,0,Clean,2,Rental Use,True
58,2018,GMC,Yukon,SLE RWD,Gainesville,GA,"164,486","$27,450",SUV,Summit White,Cocoa/Dune,5.3L V-8 Gas,RWD,Gas,Automatic,0,Clean,1,Personal Use,True
59,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Lafayette,IN,"83,667","$28,998",Pickup Truck,Oxford White,Medium Earth Gray,3.3L V-6 Gas,4WD,Gas,Automatic,2,Clean,2,Rental Use,True
60,2013,BMW,X3,xDrive28i AWD,Pensacola,FL,"111,802","$9,788",SUV,Jet Black,Charcoal,2.0L Inline-4 Gas Turbocharged,AWD,Gas,Automatic,1,Clean,4,Fleet Use,True
61,2018,Toyota,Camry,XLE I4 Automatic,Staunton,VA,"35,816","$19,500",Sedan,Super White,Macadamia,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,2,Rental Use,True
62,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Birmingham,AL,"46,347","$34,523",Pickup Truck,Shadow Black,Medium Earth Gray,5.0L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
63,2018,Mercedes-Benz,C-Class,C 300 4MATIC Sedan,Farmingdale,NY,"41,987","$23,190",Sedan,Black,Black,2.0L Inline-4 Gas Turbocharged,AWD,Gas,Automatic,1,Clean,1,Personal Use,True
64,2017,Nissan,Rogue,S AWD,Sarasota,FL,"99,509","$13,791",SUV,Magnetic Black,Charcoal,2.5L Inline-4 Gas,AWD,Gas,Automatic,0,Clean,2,Personal Use,True
65,2018,Ford,F-150,Lariat SuperCrew 5.5' Box 4WD,Blackfoot,ID,"129,900","$30,922",Pickup Truck,Oxford White,Black,5.0L V-8 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
66,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Henderson,NV,"83,772","$32,998",Pickup Truck,Stone Gray,Medium Earth Gray,3.3L V-6 Gas,4WD,Gas,Automatic,0,Clean,2,Rental Use,True
67,2018,Ford,Edge,SEL AWD,Buffalo,NY,"95,132","$19,995",SUV,Oxford White,Ebony,2.0L Inline-4 Gas Turbocharged,AWD,Gas,Automatic,1,Clean,1,Personal Use,True
68,2018,Ford,F-150,Lariat SuperCrew 5.5' Box 4WD,Lubbock,TX,"97,615","$36,918",Pickup Truck,Shadow Black,Unknown,5.0L V-8 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
69,2018,Toyota,Corolla,SE CVT,Santee,CA,"73,500","$15,995",Sedan,Black,Black,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,1,Personal Use,True
70,2019,Kia,Optima,LX,Modesto,CA,"45,200","$17,999",Sedan,Snow White Pearl,Black,2.4L Inline-4 Gas,FWD,Gas,Automatic,1,Clean,1,Mixed Use,True
71,2018,Mercedes-Benz,C-Class,C 300 4MATIC Sedan,Hillside,NJ,"72,086","$21,995",Sedan,Designo Cardinal Red Metallic,Silk Beige/Black,2.0L Inline-4 Gas Turbocharged,AWD,Gas,Automatic,0,Clean,1,Personal Use,True
72,2019,Nissan,Rogue,SV FWD,Fort Worth,TX,"55,453","$17,990",SUV,Magnetic Black Pearl,Charcoal,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,2,Rental Use,True
73,2015,Ford,F-150,XLT SuperCrew 5.5' Box RWD,Abilene,TX,"143,235","$19,995",Pickup Truck,White,Gray,3.5L V-6 Gas,RWD,Gas,Automatic,0,Clean,2,Rental Use,True
74,2019,Jeep,Cherokee,Trailhawk 4WD,Post Falls,ID,"31,824","$26,500",SUV,Bright White Clearcoat,Black,2.0L V-4 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
75,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Cincinnati,OH,"70,149","$31,999",Pickup Truck,Shadow Black,Medium Earth Gray,3.3L V-6 Gas,4WD,Gas,Automatic,1,Clean,2,Rental Use,True
76,2018,Chevrolet,Silverado 1500,LT Crew Cab Short Box 4WD,Palm Coast,FL,"60,337","$32,995",Pickup Truck,Summit White,Jet Black,5.3L V-8 Gas,4WD,Gas,Automatic,0,Clean,2,Personal Use,True
77,2019,Ford,Super Duty F-250,Lariat 4WD Crew Cab 6.75' Box,Frisco,TX,"133,120","$45,791",Pickup Truck,Oxford White,Black / Dark Marsala,6.2L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
78,2019,Chevrolet,Equinox,LT with 1LT FWD,Westmont,IL,"47,147","$20,466",SUV,Iridescent Pearl Tricoat,Jet Black,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,0,Clean,2,Rental Use,True
79,2018,Ford,F-150,XLT SuperCab 6.5' Box 2WD,Miami,FL,"78,223","$25,900",Pickup Truck,Black Velvet,Black,2.7L V-6 Gas Turbocharged,RWD,Gas,Automatic,2,Clean,1,Personal Use,True
80,2019,Ford,Super Duty F-250,XL 2WD Crew Cab 6.75' Box,Devine,TX,"37,161","$44,963",Pickup Truck,Oxford White,Gray,6.2L V-8 Gas,RWD,Gas,Automatic,1,Clean,1,Personal Use,True
81,2018,Toyota,Camry,XLE I4 Automatic,Houston,TX,"14,870","$18,500",Sedan,Midnight Black Metallic,Unknown,2.5L Inline-4 Gas,FWD,Gas,Automatic,1,Clean,2,Personal Use,True
82,2017,Chevrolet,Silverado 1500,LT Crew Cab Short Box 4WD,San Angelo,TX,"84,200","$28,999",Pickup Truck,Iridescent Pearl Tricoat,Cocoa/Dune,5.3L V-8 Gas,4WD,Gas,Automatic,0,Clean,2,Personal Use,True
83,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Norman,OK,"28,164","$35,000",Pickup Truck,Shadow Black,Medium Earth Gray,2.7L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
84,2018,Ford,F-150,XL SuperCrew 5.5' Box 4WD,Spokane,WA,"137,761","$32,398",Pickup Truck,Ingot Silver Metallic,Black,3.5L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
85,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Manning,SC,"61,682","$32,400",Pickup Truck,Magnetic Metallic,Medium Earth Gray,3.3L V-6 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
86,2019,Jeep,Cherokee,Limited 4WD,Sussex,NJ,"19,027","$29,333",SUV,Granite Crystal Metallic Clearcoat,Black,2.0L V-4 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,2,Personal Use,True
87,2018,Chevrolet,Silverado 1500,LT Crew Cab Short Box 2WD,Weatherford,TX,"191,939","$22,750",Pickup Truck,Summit White,Jet Black,5.3L V-8 Gas,RWD,Gas,Automatic,0,Clean,1,Personal Use,True
88,2014,Chevrolet,Silverado 1500,LT with 1LT Double Cab Standard Box 4WD,Pikeville,KY,"194,002","$15,341",Pickup Truck,Black,Jet Black,4.3L V-6 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
89,2016,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Smithfield,NC,"78,248","$28,998",Pickup Truck,White,Unknown,2.7L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,2,Personal Use,True
90,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Dallas,TX,"100,369","$27,993",Pickup Truck,White Platinum Metallic Tri-Coat,Medium Earth Gray,5.0L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
91,2018,Ford,F-150,Lariat SuperCrew 5.5' Box 2WD,San Antonio,TX,"48,889","$35,995",Pickup Truck,Oxford White,Medium Earth Gray,2.7L V-6 Gas Turbocharged,RWD,Gas,Automatic,0,Clean,2,Personal Use,True
92,2017,Hyundai,Elantra,SE 2.0L Sedan Automatic (alt),Houston,TX,"78,265","$9,999",Sedan,Symphony Silver,Gray,2.0L Inline-4 Gas,FWD,Gas,Automatic,2,Clean,4,Rental Use,True
93,2017,Ford,Escape,SE 4WD,Fairfield,OH,"143,012","$11,848",SUV,Oxford White,Charcoal Black,1.5L Inline-4 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,2,Fleet Use,True
94,2020,Toyota,Corolla,LE CVT,Hialeah,FL,"17,953","$19,995",Sedan,Classic Silver Metallic,Black,1.8L Inline-4 Gas,FWD,Gas,Automatic,1,Clean,1,Personal Use,True
95,2019,Nissan,Sentra,SV CVT,Vista,CA,"60,742","$14,976",Sedan,Gun Metallic,Charcoal,1.8L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,1,Rental Use,True
96,2018,Toyota,Camry,LE I4 Automatic,Florence,SC,"92,978","$17,990",Sedan,White,Black,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,2,Mixed Use,True
97,2016,Ram,2500,"SLT Crew Cab 6'4"" Box 4WD",Austin,TX,"183,090","$18,995",Pickup Truck,Bright White Clearcoat,Diesel Gray/Black,5.7L V-8 Gas,4WD,Gas,Automatic,0,Clean,2,Mixed Use,True
98,2018,Nissan,Rogue,SV AWD,Kenvil,NJ,"64,848","$17,995",SUV,Brilliant Silver,Charcoal,2.5L Inline-4 Gas,AWD,Gas,Automatic,0,Clean,1,Personal Use,True
99,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Deland,FL,"40,860","$33,998",Pickup Truck,Black,Dark Earth Gray,5.0L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Fleet Use,True
100,2018,Nissan,Rogue,SV AWD,Middle Village,NY,"45,032","$18,495",SUV,Magnetic Black,Charcoal,2.5L Inline-4 Gas,AWD,Gas,Automatic,1,Clean,1,Personal Use,True
101,2018,Mercedes-Benz,C-Class,C 300 Sedan RWD,Salinas,CA,"26,146","$34,995",Sedan,Polar White,Silk Beige/Black,2.0L Inline-4 Gas Turbocharged,RWD,Gas,Automatic,0,Clean,1,Personal Use,True
102,2017,Ford,Explorer,XLT 4WD,Sterling,VA,"124,771","$15,990",SUV,Blue Jeans Metallic,Ebony Black,3.5L V-6 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
103,2019,Ford,Super Duty F-250,Lariat 4WD Crew Cab 6.75' Box,Lubbock,TX,"84,211","$53,010",Pickup Truck,White Platinum,Black / Dark Marsala,6.2L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
104,2017,Ford,Explorer,XLT 4WD,Point Pleasant Beach,NJ,"180,659","$14,595",SUV,Shadow Black,Ebony Black,2.3L V-4 Gas Turbocharged,4WD,Gas,Automatic,1,Clean,2,Personal Use,True
105,2014,Honda,Civic,LX Sedan CVT,Houston,TX,"96,691","$11,488",Sedan,Alabaster Silver Metallic,Black,1.8L Inline-4 Gas,FWD,Gas,Automatic,1,Clean,2,Personal Use,True
106,2018,Ford,F-150,XLT SuperCab 6.5' Box 2WD,Smyrna,GA,"187,584","$17,999",Pickup Truck,Blue,Beige,5.0L V-8 Gas,RWD,Gas,Automatic,0,Clean,1,Fleet Use,True
107,2020,Chevrolet,Malibu,LT,San Antonio,TX,"60,635","$19,700",Sedan,Silver Ice Metallic,Jet Black,1.5L Inline-4 Gas Turbocharged,FWD,Gas,Automatic,0,Clean,1,Rental Use,True
108,2018,Honda,Civic,LX Sedan CVT,Fresno,CA,"30,854","$21,803",Sedan,Crystal Black Pearl,Black,2.0L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,1,Personal Use,True
109,2015,Nissan,Rogue Select,S FWD,San Antonio,TX,"136,535","$7,500",SUV,Pearl White,Gray,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,2,Fleet Use,True
110,2016,Nissan,Altima,2.5 S,Clearwater,FL,"98,478","$14,434",Sedan,Cayenne Red,Charcoal,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,1,Personal Use,True
111,2015,Ford,Fusion,SE FWD,Tinley Park,IL,"99,302","$10,500",Sedan,Oxford White,Charcoal Black,2.5L Inline-4 Gas,FWD,Gas,Automatic,2,Clean,3,Personal Use,True
112,2018,Ford,F-150,XL SuperCrew 6.5' Box 4WD,Laurel,MD,"66,014","$32,747",Pickup Truck,Oxford White,Dark Earth Gray,5.0L V-8 Gas,4WD,Gas,Automatic,0,Clean,1,Fleet Use,True
113,2018,Dodge,Charger,SXT RWD,Lubbock,TX,"60,622","$25,979",Sedan,Granite Pearlcoat,Black,3.6L V-6 Gas,RWD,Gas,Automatic,0,Clean,2,Fleet Use,True
114,2014,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Henrico,VA,"239,696","$12,888",Pickup Truck,Tuxedo Black Metallic,Unknown,5.0L V-8 Gas,4WD,Gas,Automatic,0,Clean,2,Personal Use,True
115,2018,Toyota,Camry,LE I4 Automatic,Honolulu,HI,"31,160","$18,995",Sedan,Gray,Gray,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,0,Personal Use,True
116,2014,Ford,F-150,XLT SuperCab 6.5' Box RWD,Knoxville,TN,"126,241","$16,663",Pickup Truck,Tuxedo Black Metallic,Steel Gray,3.7L V-6 Gas,RWD,Gas,Automatic,0,Clean,1,Personal Use,True
117,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Fargo,ND,"88,746","$29,421",Pickup Truck,Magnetic Metallic,Medium Earth Gray,2.7L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,2,Rental Use,True
118,2020,Chevrolet,Silverado 1500,WT Regular Cab Long Bed 2WD,Miami,FL,"49,016","$24,499",Pickup Truck,Summit White,Jet Black,4.3L V-6 Gas,RWD,Gas,Automatic,0,Clean,2,Personal Use,True
119,2018,Ford,F-150,Lariat SuperCrew 5.5' Box 4WD,El Cajon,CA,"60,567","$38,000",Pickup Truck,Ingot Silver Metallic,Gray,2.7L V-6 Gas Turbocharged,4WD,Gas,Automatic,0,Clean,2,Mixed Use,True
120,2018,Nissan,Altima,2.5 S,Concord,CA,"143,076","$13,888",Sedan,Glacier White,Charcoal,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,2,Personal Use,True
121,2016,Ford,Fusion,SE FWD,Cedar Park,TX,"64,886","$16,000",Sedan,Oxford White,Ebony,2.5L Inline-4 Gas,FWD,Gas,Automatic,0,Clean,2,Personal Use,True
122,2018,Ford,F-150,XL SuperCab 6.5' Box 4WD,Arlington,TX,"100,497","$21,995",Pickup Truck,Oxford White,Medium Earth Gray,5.0L V-8 Gas,4WD,Gas,Automatic,0,Clean,2,Fleet Use,True
123,2018,Ford,F-150,XLT SuperCrew 5.5' Box 4WD,Roswell,GA,"37,624","$34,991",Pickup Truck,Gray,Black,3.3L V-6 Gas,4WD,Gas,Automatic,0,Clean,1,Personal Use,True
